volume,day,type,tx_count,avg_volume,min_volume,max_volume
,03/03/21,Margin Trade,2,,,
566.94,03/03/21,Spot Trade,4,141.7351379375,566.94055175,566.94055175
94.62,03/03/21,UnLend,1,94.61756867,94.61756867,94.61756867
,02/03/21,Close Margin Trade,2,,,
14.97,02/03/21,Margin Trade,5,2.99490968,14.9745484,14.9745484
5131.75,02/03/21,Spot Trade,20,256.5874662475,5131.74932495,5131.74932495
,02/03/21,UnLend,1,,,
,01/03/21,Borrow,1,,,
,01/03/21,Close Borrow,1,,,
166.32,01/03/21,Close Margin Trade,3,55.43956152,166.31868456,166.31868456
4.74,01/03/21,Lend,2,2.36854185,4.7370837,4.7370837
1887.54,01/03/21,Margin Trade,1,1887.54073469,1887.54073469,1887.54073469
166.32,01/03/21,Spot Trade,6,27.7197807583333,166.31868455,166.31868455
,28/02/21,Borrow,2,,,
12720.41,28/02/21,Close Margin Trade,3,4240.13705713,12720.41117139,12720.41117139
,28/02/21,Increase Margin,1,,,
,28/02/21,Lend,1,,,
633.72,28/02/21,Margin Trade,4,158.4289735375,633.71589415,633.71589415
15788.1,28/02/21,Spot Trade,60,263.135060079167,15788.10360475,15788.10360475
,27/02/21,Close Margin Trade,3,,,
,27/02/21,Increase Margin,1,,,
,27/02/21,Lend,1,,,
,27/02/21,Margin Trade,4,,,
986.71,27/02/21,Spot Trade,8,123.3385987725,986.70879018,986.70879018
142.69,26/02/21,Close Margin Trade,6,23.7808572466667,142.68514348,142.68514348
,26/02/21,Lend,5,,,
142.69,26/02/21,Margin Trade,3,47.5617144933333,142.68514348,142.68514348
728.23,26/02/21,Spot Trade,10,72.822739095,728.22739095,728.22739095
,25/02/21,Lend,2,,,
,25/02/21,Margin Trade,1,,,
241.57,25/02/21,Spot Trade,2,120.786296235,241.57259247,241.57259247
100.72,25/02/21,UnLend,1,100.71978551,100.71978551,100.71978551
,24/02/21,Close Borrow,5,,,
3472.94,24/02/21,Close Margin Trade,3,1157.64707641,3472.94122923,3472.94122923
,24/02/21,Margin Trade,6,,,
10394.82,24/02/21,Spot Trade,9,1154.98008795667,10394.82079161,10394.82079161
,23/02/21,Borrow,7,,,
406.02,23/02/21,Close Margin Trade,5,81.204767322,406.02383661,406.02383661
,23/02/21,Lend,2,,,
15581.44,23/02/21,Margin Trade,10,1558.14356861,15581.4356861,15581.4356861
24760.51,23/02/21,Spot Trade,56,442.151953010536,24760.50936859,24760.50936859
,23/02/21,UnLend,3,,,
,22/02/21,Borrow,5,,,
,22/02/21,Close Margin Trade,5,,,
,22/02/21,Lend,1,,,
